IMTX_NUM,TEAM_ID
300-4367168-6_1,li019506.in
300-4367206-4_1,li019520.in
300-4367225-4_1,li019496.in
300-4367263-5_1,li019512.in
300-4367709-7_1,li019522.in
300-4367754-3_1,li019524.in
300-4367775-8_1,li019496.in
300-4367816-0_1,li019506.in
300-4367904-4_1,li019506.in
300-4368091-9_1,li019506.in
300-4368108-1_1,li019538.in
300-4368124-8_1,li019500.in
300-4368158-6_1,li019506.in
300-4368236-0_1,li019506.in
300-4368260-0_1,li019506.in
300-4368320-2_1,li019520.in
300-4369429-0_1,li019496.in
300-4369848-1_1,li019512.in
300-4369915-8_1,li019520.in
300-4369929-9_1,li019526.in
300-4369935-6_1,li019532.in
300-4369988-5_1,li019540.in
300-4370033-7_1,li019520.in
300-4370055-0_1,li019512.in
300-4370136-8_1,li019520.in
300-4370331-5_1,li019496.in
300-4370372-9_1,li019498.in
300-4370790-2_1,li019526.in
300-4370851-2_1,li019510.in
300-4370886-8_1,li019498.in
300-4370914-8_1,li019526.in
300-4371069-0_1,li019496.in
300-4371093-0_1,li019520.in
300-4371128-4_1,li019546.in
300-4371579-8_1,li019520.in
300-4371602-8_1,li019520.in
300-4371605-1_1,li019496.in
300-4371974-1_1,li019498.in
300-4372445-1_1,li019496.in
300-4372581-3_1,li019496.in
300-4372587-0_1,li019496.in
300-4372629-0_1,li019500.in
300-4372643-1_1,li019500.in
300-4372753-8_1,li019500.in
300-4372812-2_1,li019498.in
300-4372902-1_1,li019496.in
300-4372913-8_1,li019500.in
300-4373031-8_1,li019496.in
300-4373053-2_1,li019522.in
300-4373077-1_1,li019512.in
300-4373149-8_1,li019512.in
300-4373186-0_1,li019538.in
300-4373319-7_1,li019510.in
300-4373420-3_1,li019496.in
300-4373440-1_1,li019496.in
300-4373495-5_1,li019522.in
300-4373667-9_1,li019518.in
300-4373693-5_1,li019496.in
300-4373727-1_1,li019500.in
300-4373738-8_1,li019498.in
300-4373739-6_1,li019496.in
300-4373748-7_1,li019500.in
300-4373751-1_1,li019498.in
300-4373781-8_1,li019496.in
300-4373789-1_1,li019496.in
300-4373799-0_1,li019512.in
300-4373807-1_1,li019496.in
300-4373861-8_1,li019496.in
300-4373868-3_1,li019504.in
300-4373887-3_1,li019504.in
300-4374013-5_1,li019498.in
300-4374072-1_1,li019496.in
300-4374075-4_1,li019496.in
300-4374079-6_1,li019496.in
300-4374095-2_1,li019506.in
300-4374098-6_1,li019496.in
300-4374099-4_1,li019498.in
300-4374101-8_1,li019496.in
300-4374121-6_1,li019506.in
300-4374216-4_1,li019496.in
300-4374238-8_1,li019496.in
300-4374255-2_1,li019496.in
300-4374268-5_1,li019496.in
300-4374270-1_1,li019496.in
300-4374304-8_1,li019496.in
300-4374305-5_1,li019496.in
300-4374329-5_1,li019496.in
300-4374366-7_1,li019506.in
300-4374390-7_1,li019496.in
300-4374394-9_1,li019496.in
300-4374407-9_1,li019496.in
300-4374414-5_1,li019496.in
300-4374439-2_1,li019496.in
300-4374457-4_1,li019496.in
300-4374459-0_1,li019537.in
300-4374521-7_1,li019537.in
300-4374548-0_1,li019498.in
300-4374558-9_1,li019498.in
300-4374560-5_1,li019500.in
300-4374568-8_1,li019498.in
300-4374609-0_1,li019506.in
300-4374613-2_1,li019500.in
300-4374616-5_1,li019510.in
300-4374634-8_1,li019500.in
300-4374657-9_1,li019506.in
300-4374683-5_1,li019506.in
300-4374700-7_1,li019506.in
300-4374701-5_1,li019502.in
300-4374734-6_1,li019498.in
300-4374743-7_1,li019502.in
300-4374768-4_1,li019498.in
300-4374781-7_1,li019540.in
300-4374805-4_1,li019498.in
300-4374909-4_1,li019498.in
300-4374939-1_1,li019496.in
300-4374943-3_1,li019496.in
300-4374945-8_1,li019496.in
300-4374950-8_1,li019512.in
300-4374953-2_1,li019498.in
300-4374968-0_1,li019498.in
300-4374975-5_1,li019498.in
300-4374977-1_1,li019508.in
300-4374985-4_1,li019500.in
300-4375023-3_1,li019502.in
300-4375027-4_1,li019508.in
300-4375067-0_1,li019508.in
300-4375080-3_1,li019512.in
300-4375100-9_1,li019496.in
300-4375133-0_1,li019500.in
300-4375156-1_1,li019502.in
300-4375180-1_1,li019502.in
300-4375186-8_1,li019498.in
300-4375229-6_1,li019498.in
300-4375254-4_1,li019498.in
300-4375292-4_1,li019496.in
300-4375329-4_1,li019496.in
300-4375380-7_1,li019517.in
300-4375417-7_1,li019543.in
300-4375632-1_1,li019527.in
300-4375683-4_1,li019533.in
300-4375902-8_1,li019500.in
300-4375920-0_1,li019498.in
300-4375946-5_1,li019498.in
300-4375957-2_1,li019496.in
300-4375960-6_1,li019496.in
300-4375985-3_1,li019498.in
300-4375997-8_1,li019498.in
300-4376095-0_1,li019498.in
300-4376103-2_1,li019496.in
300-4376119-8_1,li019496.in
300-4376145-3_1,li019498.in
300-4376167-7_1,li019496.in
300-4376242-8_1,li019498.in
300-4376277-4_1,li019496.in
300-4376303-8_1,li019498.in
300-4376309-5_1,li019496.in
300-4376311-1_1,li019498.in
300-4376335-0_1,li019498.in
300-4376366-5_1,li019498.in
300-4376368-1_1,li019498.in
300-4376370-7_1,li019498.in
300-4376371-5_1,li019498.in
300-4376562-9_1,li019533.in
300-4376566-0_1,li019506.in
300-4376577-7_1,li019506.in
300-4376578-5_1,li019506.in
300-4376579-3_1,li019508.in
300-4376580-1_1,li019508.in
300-4376581-9_1,li019508.in
300-4376582-7_1,li019508.in
300-4376583-5_1,li019508.in
300-4376634-6_1,li019500.in
300-4376671-8_1,li019520.in
300-4376751-8_1,li019520.in
300-4376757-5_1,li019498.in
300-4376800-3_1,li019508.in
300-4376956-3_1,li019520.in
300-4376961-3_1,li019498.in
300-4376984-5_1,li019498.in
300-4377014-0_1,li019498.in
300-4377018-1_1,li019518.in
300-4377026-4_1,li019498.in
300-4377045-4_1,li019498.in
300-4377081-9_1,li019524.in
300-4377113-0_1,li019540.in
300-4377286-4_1,li019514.in
300-4377345-8_1,li019516.in
300-4377363-1_1,li019516.in
300-4377416-7_1,li019516.in
300-4377427-4_1,li019498.in
300-4377430-8_1,li019498.in
300-4377431-6_1,li019498.in
300-4377433-2_1,li019498.in
300-4377434-0_1,li019498.in
300-4377435-7_1,li019498.in
300-4377455-5_1,li019524.in
300-4377471-2_1,li019498.in
300-4377489-4_1,li019498.in
300-4377544-6_1,li019498.in
300-4377569-3_1,li019498.in
300-4377578-4_1,li019516.in
300-4377608-9_1,li019498.in
300-4377617-0_1,li019498.in
300-4377624-6_1,li019498.in
300-4377633-7_1,li019498.in
300-4377652-7_1,li019500.in
300-4377696-4_1,li019498.in
300-4377699-8_1,li019498.in
300-4377702-0_1,li019498.in
300-4377741-8_1,li019498.in
300-4377796-2_1,li019498.in
300-4377817-6_1,li019498.in
